Pokemon,DexNo,Form,NormalPortrait,ShinyPortrait,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2,Move 1,Move 2,Move 3,Size,Weight,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Passive 1,Passive 2,Passive 3,Passive 4,Passive 5,Passive 6,Passive 7,Proficiency 1,Proficiency 2,Proficiency 3,Proficiency 4,Proficiency 5,Proficiency 6,Proficiency 7,Proficiency 8,EggGroup1,EggGroup2,Egg Hatch Rate,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Habitat 5,Diet,Rarity,Base Form,Special Form Type,Gigantamax Move,Evolves From,Stage,Legendary HP,Move 4,Move 5,Move 6,Legendary Move 1,Legendary Move 2,Legendary Move 3,Legendary Move 4,Legenadary Passive 1,Legenadary Passive 2,Legenadary Passive 3,Legendary Feature 1,Legendary Feature 2
Lapras,131,Gigantamax,lapras-gmax,lapras-gmax,390,9,8,9,10,6,Water,Ice,Sing,Ice Beam,Brine,Dynamic,Dynamic,Flopper,Fountain,Freezer,Swimmer,,,,Growl,Hydration,Shell Armor,Water Absorb,,,,Ice,Water,Elemental Attacks E,Horned,Sound,,,"Perish Song, Sheer Cold, Sparkling Aria",Monster,Water1,25 Days,Ocean,Polar,,,,Omnivore,Rare,Lapras,Gigantamax,GMax Resonance,,3,,,,,,,,,,,,,
Ditto,132,Base,ditto,ditto,30,5,5,5,5,5,Normal,,Transform,,,Small,Light,Amorphous,Inflatable,Shrinkable,,,,,Imposter,Limber,,,,,,No moves from Any,,,,,,,Transform,Ditto,,10 Days,Variable,,,,,Variable,Rare,,,,,3,,,,,,,,,,,,,
Eevee,133,Base,eevee,eevee,36,6,5,5,7,6,Normal,,Quick Attack,Bite,Swift,Small,Light,Tracker,,,,,,,Charm,Adaptability,,,,,,Cutesy,,,,,,,Heal Bell,Field,,10 Days,Forest,Urban,,,,Omnivore,Uncommon,,,GMax Cuddle,,1,,,,,,,,,,,,,
Eevee,133,Gigantamax,eevee-gmax,eevee-gmax,180,6,5,5,7,6,Normal,,Quick Attack,Bite,Swift,Dynamic,Dynamic,Tracker,,,,,,,Charm,Adaptability,,,,,,Cutesy,,,,,,,Heal Bell,Field,,10 Days,Forest,Urban,,,,Omnivore,Uncommon,Eevee,Gigantamax,GMax Cuddle,,1,,,,,,,,,,,,,
Vaporeon,134,Base,vaporeon,vaporeon,78,7,6,11,10,7,Water,,Water Gun,Aqua Ring,Hydro Pump,Medium,Medium,Amorphous,Fountain,Gilled,Swimmer,Tracker,,,Acid Armor,Adaptability,Hydration,Water Absorb,,,,Cutesy,Water,,,,,,Heal Bell,Field,,10 Days,Forest,Urban,,,,Omnivore,Uncommon,,,,Eevee,3,,,,,,,,,,,,,
Jolteon,135,Base,jolteon,jolteon,42,7,6,11,10,13,Electric,,Thunder Shock,Pin Missile,Thunder Wave,Medium,Medium,Tracker,Zapper,,,,,,Agility,Charm,Adaptability,Quick Feet,Volt Absorb,,,Cutesy,Electric,,,,,,Heal Bell,Field,,10 Days,Forest,Urban,,,,Omnivore,Uncommon,,,,Eevee,3,,,,,,,,,,,,,
Flareon,136,Base,flareon,flareon,42,13,6,10,11,7,Fire,,Ember,Smog,Flare Blitz,Medium,Medium,Firestarter,Heater,Tracker,,,,,Charm,Scary Face,Adaptability,Flash Fire,Guts,,,Cutesy,Fire,,,,,,Heal Bell,Field,,10 Days,Forest,Urban,,,,Omnivore,Uncommon,,,,Eevee,3,,,,,,,,,,,,,
Porygon,137,Base,porygon,porygon,42,6,7,9,8,4,Normal,,Conversion,Tackle,Psybeam,Medium,Medium,Flight,Wired,,,,,,Sharpen,Download,,,,,,Elemental Attacks,Normal Block,,,,,,"Conversion, Recover, Tri Attack",Mineral,,10 Days,Urban Plants,,,,,Ergovore,Rare,,,,,1,,,,,,,,,,,,,
Omanyte,138,Base,omanyte,omanyte,24,4,10,9,6,4,Rock,Water,Bite,Water Gun,Rollout,Small,Light,Flopper,Fountain,Gilled,Swimmer,,,,Leer,Shell Armor,,,,,,Ice,Rock,Water,Prickly,,,,"Constrict, Shell Smash",Water1,Water3,10 Days,Ocean Floors,Ocean Reefs,,,,Omnivore,Rare,,,,,1,,,,,,,,,,,,,
Omastar,139,Base,omastar,omastar,42,6,13,12,7,6,Rock,Water,Spike Cannon,Rock Blast,Hydro Pump,Medium,Medium,Flopper,Fountain,Gilled,Swimmer,,,,Leer,Shell Armor,Swift Swim,Weak Armor,,,,Ice,Rock,Water,Prickly,,,,"Constrict, Shell Smash",Water1,Water3,10 Days,Ocean Floors,Ocean Reefs,,,,Omnivore,Rare,,,,Omanyte,3,,,,,,,,,,,,,
Kabuto,140,Base,kabuto,kabuto,18,8,9,6,5,6,Rock,Water,Absorb,Mud Shot,Aqua Jet,Small,Medium,Flopper,Fountain,Gilled,Swimmer,,,,Harden,Leer,Battle Armor,,,,,Rock,Water,Blades/Claws,Parasitic,,,,,Water1,Water3,10 Days,Ocean Floors,Ocean Reefs,,,,Omnivore,Rare,,,,,1,,,,,,,,,,,,,
Kabutops,141,Base,kabutops,kabutops,36,12,11,7,7,8,Rock,Water,Slash,Ancient Power,Night Slash,Medium,Medium,Fountain,Gilled,Swimmer,,,,,Harden,Leer,Metal Sound,Battle Armor,Swift Swim,Weak Armor,,Rock,Water,Blades/Claws,Parasitic,,,,,Water1,Water3,10 Days,Ocean Floors,Ocean Reefs,,,,Omnivore,Rare,,,,Kabuto,3,,,,,,,,,,,,,
Aerodactyl,142,Base,aerodactyl,aerodactyl,48,11,7,6,8,13,Rock,Flying,Ancient Power,Crunch,Sky Drop,Huge,Medium,Flight,,,,,,,Pressure,Rock Head,Unnerve,,,,,Flying,Rock,Elemental Attacks F,Fangs,,,,,Flying,,20 Days,Forest,Mountains,,,,Carnivore,Rare,,,,,3,,,,,,,,,,,,,
Aerodactyl,142,Mega,aerodactyl-mega,aerodactyl-mega,48,14,9,7,10,15,Rock,Flying,Ancient Power,Crunch,Sky Drop,Huge,Medium,Flight,,,,,,,Pressure,Rock Head,Unnerve,Tough Claws and Fangs,,,,Flying,Rock,Elemental Attacks F,Fangs,,,,,Flying,,20 Days,Forest,Mountains,,,,Carnivore,Rare,Aerodactyl,Mega,,,3,,,,,,,,,,,,,
Snorlax,143,Base,snorlax,snorlax,96,11,7,7,11,3,Normal,,Body Slam,Rest,Snore,Large,Superweight,None,,,,,,,Amnesia,Defense Curl,Screech,Immunity,Thick Fat,,,Elemental attacks,Glutton,Stampeding,,,,,,Monster,,20 Days,Forest,Mountains,,,,Omnivore,Rare,,,GMax Replenish,Munchlax,3,,,,,,,,,,,,,
Snorlax,143,Gigantamax,snorlax-gmax,snorlax-gmax,480,11,7,7,11,3,Normal,,Body Slam,Rest,Snore,Dynamic,Dynamic,None,,,,,,,Amnesia,Defense Curl,Screech,Immunity,Thick Fat,,,Elemental attacks,Glutton,Stampeding,,,,,,Monster,,20 Days,Forest,Mountains,,,,Omnivore,Rare,Snorlax,Gigantamax,GMax Replenish,Munchlax,3,,,,,,,,,,,,,
Articuno,144,Base,articuno,articuno,54,9,10,10,13,9,Ice,Flying,Ice Beam,Blizzard,Hurricane,Large,Medium,Flight,Freezer,Guster,,,,,Agility,Pressure,Snow Cloak,,,,,Flying,Ice,Avian,Winged,,,,,,,,Tundra,,,,,Omnivore,Beings of Nature / Oddities,,,,,3,108,Sheer Cold,Roost,,,,,,Birds of Legend,,,,
Articuno,144,Base/Galarian,articuno-galar,articuno-galar,54,9,9,13,10,10,Psychic,Flying,Confusion,Hypnosis,Hurricane,Large,Medium,Flight,Guster,Telekinetic,,,,,Agility,Competitive,Pressure,,,,,Flying,Psychic,Avian,Blades/Claws,Winged,Ice,,,,,,Tundra,,,,,Omnivore,Beings of Nature / Oddities,,,,,3,108,Recover,,,Freezing Glare,,,,Birds of Legend,,,,
Zapdos,145,Base,zapdos,zapdos,54,9,9,13,9,10,Electric,Flying,Drill Peck,Thunderbolt,Thunder,Large,Medium,Flight,Guster,Zapper,,,,,Agility,Pressure,Static,,,,,Electric,Flying,Avian,Winged,,,,,,,,Mountains,Urban Plants,,,,Omnivore,Beings of Nature / Oddities,,,,,3,108,Zap Cannon,Roost,,,,,,Birds of Legend,,,,
Zapdos,145,Base/Galarian,zapdos-galar,zapdos-galar,54,13,9,9,9,10,Fighting,Flying,Drill Peck,Detect,Brick Break,Large,Medium,Flight,,,,,,,Agility,Defiant,Pressure,,,,,Electric,Fighting,Flying,Martial (Kicks),Avian,Winged,,,,,,Mountains,Urban Plants,,,,Omnivore,Beings of Nature / Oddities,,,,,3,108,Close Combat,,,Thunderous Kick,,,,Birds of Legend,,,,
Moltres,146,Base,moltres,moltres,54,10,9,13,9,9,Fire,Flying,Fire Spin,Flamethrower,Heat Wave,Large,Medium,Firestarter,Flight,Guster,,,,,Agility,Flame Body,Pressure,,,,,Fire,Flying,Avian,Winged,,,,,,,,Cave,Mountains,,,,Omnivore,Beings of Nature / Oddities,,,,,3,108,Burn Up,Roost,,,,,,Birds of Legend,,,,
Moltres,146,Base/Galarian,moltres-galar,moltres-galar,54,9,9,10,13,9,Dark,Flying,Sucker Punch,Air Slash,Hurricane,Large,Medium,Flight,Guster,,,,,,Agility,Nasty Plot,Berserk,Pressure,,,,Dark,Fire,Flying,Avian,Winged,,,,,,,Cave,Mountains,,,,Omnivore,Beings of Nature / Oddities,,,,,3,108,Endure,,,Fiery Wrath,,,,Birds of Legend,,,,
Dratini,147,Base,dratini,dratini,24,6,5,5,5,5,Dragon,,Wrap,Thunder Wave,Twister,Medium,Light,Flight,Swimmer,,,,,,Leer,Shed Skin,,,,,,Dragon,Draconian,,,,,,Wrap,Water1,Dragon,20 Days,Lakes,Ocean,,,,Omnivore,Rare,,,,,1,,,,,,,,,,,,,
Dragonair,148,Base,dragonair,dragonair,36,8,7,7,7,7,Dragon,,Dragon Rage,Slam,Aqua Tail,Large,Medium,Flight,Swimmer,,,,,,Leer,Marvel Scale,Shed Skin,,,,,Dragon,Flying,Draconian,,,,,,Water1,Dragon,20 Days,Lakes,Ocean,,,,Omnivore,Rare,,,,Dratini,2,,,,,,,,,,,,,
Dragonite,149,Base,dragonite,dragonite,54,13,10,10,10,8,Dragon,Flying,Wing Attack,Dragon Rush,Outrage,Large,Superweight,Flight,Swimmer,,,,,,Dragon Dance,Leer,Inner Focus,Multiscale,Shed Skin,,,Dragon,Flying,Bruiser,Draconian,Elemental Attacks,Normal Block,,Extreme Speed,Water1,Dragon,20 Days,Lakes,Ocean,,,,Omnivore,Rare,,,,Dragonair,3,,,,,,,,,,,,,
Mewtwo,150,Base,mewtwo,mewtwo,66,12,9,15,9,13,Psychic,,Confusion,Psychic,Recover,Large,Heavy,Flight,,,,,,,Amnesia,Barrier,Nasty Plot,Pressure,Steadfast,,,Psychic,Bruiser,Elemental Attacks,Energy Blast,,,,,,,,Cave,Urban Abandoned,,,,Omnivore,Manmade Legendary,,,,,3,330,,,,Psystrike,Mindreading Disable,,,Force Field,Mindslaver,,Mewtwoite,Psycho Rage
Mewtwo,150,Mega/X,mewtwo-megax,mewtwo-megax,66,19,10,15,10,13,Psychic,Fighting,Confusion,Psychic,Recover,Large,Heavy,Flight,,,,,,,Amnesia,Barrier,Nasty Plot,Pressure,Steadfast,,,Psychic,Bruiser,Elemental Attacks,Energy Blast,,,,,,,,Cave,Urban Abandoned,,,,Omnivore,Manmade Legendary,Mewtwo,Mega,,,3,330,Zen Headbutt,Drain Punch,Triple Kick,Psystrike,Mindreading Disable,,,Force Field,Mindslaver,,Mewtwoite,Psycho Rage
Mewtwo,150,Mega/Y,mewtwo-megay,mewtwo-megay,66,15,7,19,12,14,Psychic,,Confusion,Psychic,Recover,Large,Heavy,Flight,,,,,,,Amnesia,Barrier,Nasty Plot,Pressure,Steadfast,,,Psychic,Bruiser,Elemental Attacks,Energy Blast,,,,,,,,Cave,Urban Abandoned,,,,Omnivore,Manmade Legendary,Mewtwo,Mega,,,3,330,Mirror Coat,Hyper Blast,Extreme Speed,Psystrike,Mindreading Disable,,,Force Field,Mindslaver,,Mewtwoite,Psycho Rage
Mew,151,Base,mew,mew,60,10,10,10,10,10,Psychic,,Psychic,Aura Sphere,Metronome,Small,Light,Flight,Intelligence,Invisibility,Mind Lock,Stealth,Telekinetic,Telepath,Amnesia,Barrier,Nasty Plot,Synchronize,,,,Any,,,,,,,,,,,Forest,Mountains,Rainforests,,,Omnivore,Beings of Nature / Oddities,,,,,3,100,,,,Enigma Transformation,,,,,,,,
Chikorita,152,Base,chikorita,chikorita,30,5,7,5,7,5,Grass,,Tackle,Razor Leaf,Synthesis,Small,Light,Sprouter,Alluring,,,,,,Growl,Overgrow,,,,,,Grass,Floral,Healer,,,,,Vine Whip,Monster,Grass,10 Days,Grasslands,,,,,Phototroph,Rare,,,,,1,,,,,,,,,,,,,
Bayleef,153,Base,bayleef,bayleef,36,6,8,6,8,6,Grass,,Reflect,Light Screen,Magical Leaf,Medium,Medium,Sprouter,Alluring,,,,,,Growl,Overgrow,,,,,,Grass,Floral,Healer,,,,,Vine Whip,Monster,Grass,10 Days,Grasslands,,,,,Phototroph,Rare,,,,Chikorita,2,,,,,,,,,,,,,
Meganium,154,Base,meganium,meganium,48,8,10,8,10,8,Grass,,Safeguard,Aromatherapy,Petal Blizzard,Large,Heavy,Sprouter,Alluring,,,,,,Growl,Overgrow,Leaf Guard,,,,,Grass,Floral,Healer,,,,,"Vine Whip, Frenzy Plant",Monster,Grass,10 Days,Grasslands,,,,,Phototroph,Rare,,,,Bayleef,3,,,,,,,,,,,,,
Cyndaquil,155,Base,cyndaquil,cyndaquil,24,5,4,6,5,7,Fire,,Smoke Screen,Ember,Quick Attack,Small,Light,Firestarter,Sinker,,,,,,Leer,Blaze,,,,,,Fire,,,,,,,"Burn Up, Eruption",Field,,10 Days,Grasslands,Volcanoes,,,,Omnivore,Rare,,,,,1,,,,,,,,,,,,,
Quilava,156,Base,quilava,quilava,36,6,6,8,7,8,Fire,,Swift,Flame Charge,Rollout,Medium,Medium,Firestarter,Sinker,,,,,,Defense Curl,Leer,Blaze,,,,,Fire,Stampeding,,,,,,"Burn Up, Eruption",Field,,10 Days,Grasslands,Volcanoes,,,,Omnivore,Rare,,,,Cyndaquil,2,,,,,,,,,,,,,
Typhlosion,157,Base,typhlosion,typhlosion,48,8,8,11,9,10,Fire,,Flamethrower,Double Edge,Eruption,Large,Heavy,Firestarter,Sinker,,,,,,Defense Curl,Leer,Blaze,Flash Fire,,,,Fire,Stampeding,,,,,,"Burn Up, Eruption, Blast Burn",Field,,10 Days,Grasslands,Volcanoes,,,,Omnivore,Rare,,,,Quilava,3,,,,,,,,,,,,,
Totodile,158,Base,totodile,totodile,30,7,6,4,5,4,Water,,Scratch,Water Gun,Bite,Small,Light,Fountain,Swimmer,,,,,,Leer,Torrent,,,,,,Ice (Melee attacks),Water,Fangs (No electrictype moves),,,,,,Monster,Water1,10 Days,Lakes,Rivers,,,,Carnivore,Rare,,,,,1,,,,,,,,,,,,,
Croconaw,159,Base,croconaw,croconaw,42,8,8,6,6,6,Water,,Rage,Ice Fang,Crunch,Medium,Medium,Fountain,Swimmer,,,,,,Leer,Scary Face,Torrent,,,,,Ice (Melee attacks),Water,Fangs (No electrictype moves),,,,,,Monster,Water1,10 Days,Lakes,Rivers,,,,Carnivore,Rare,,,,Totodile,2,,,,,,,,,,,,,
Feraligatr,160,Base,feraligatr,feraligatr,54,11,10,8,8,8,Water,,Slash,Aqua Tail,Superpower,Large,Heavy,Fountain,Swimmer,,,,,,Leer,Scary Face,Sheer Force,Torrent,,,,Ice (Melee attacks),Water,Fangs (No electrictype moves),,,,,Hydro Cannon,Monster,Water1,10 Days,Lakes,Rivers,,,,Carnivore,Rare,,,,Croconaw,3,,,,,,,,,,,,,
Sentret,161,Base,sentret,sentret,24,5,3,4,5,2,Normal,,Quick Attack,Fury Attack,Foresight,Small,Light,None,,,,,,,Defense Curl,Run Away,,,,,,Elemental attacks,Blades/Claws,,,,,,Super Fang,Field,,7 Days,Grasslands,Meadows,Woodlands,,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Furret,162,Base,furret,furret,54,8,6,5,6,9,Normal,,Follow Me,Slam,Hyper Voice,Medium,Medium,None,,,,,,,Agility,Amnesia,Defense Curl,Keen Eye,,,,Elemental attacks,Blades/Claws,,,,,,Super Fang,Field,,7 Days,Grasslands,Meadows,Woodlands,,,Omnivore,Common,,,,Sentret,3,,,,,,,,,,,,,
Hoothoot,163,Base,hoothoot,hoothoot,36,3,3,4,6,5,Normal,Flying,Tackle,Peck,Hypnosis,Small,Medium,Flight,,,,,,,Growl,Keen Eye,,,,,,Flying,Psychic,Avian,Winged,,,,,Flying,,7 Days,Forest,Woodlands,,,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Noctowl,164,Base,noctowl,noctowl,60,5,5,9,10,7,Normal,Flying,Confusion,Zen Headbutt,Air Slash,Medium,Medium,Flight,Telekinetic,,,,,,Growl,Insomnia,Keen Eye,Tinted Lens,,,,Flying,Psychic,Avian,Winged,,,,Psycho Shift,Flying,,7 Days,Forest,Woodlands,,,,Omnivore,Common,,,,Hoothoot,3,,,,,,,,,,,,,
Ledyba,165,Base,ledyba,ledyba,24,2,3,4,8,6,Bug,Flying,Tackle,Swift,Supersonic,Medium,Medium,Flight,,,,,,,Swarm,,,,,,,Bug,Flying,Winged,,,,,,Bug,,7 Days,Forest,Jungle,Wetlands,,,Omnivore,Common,,,,,1,,,,,,,,,,,,,
Ledian,166,Base,ledian,ledian,36,4,5,6,11,9,Bug,Flying,Mach Punch,Bug Buzz,Air Slash,Medium,Medium,Flight,,,,,,,Agility,Early Bird,Iron Fist,Swarm,,,,Bug,Flying,Winged,Punches,Psychic (Effects only),,,,Bug,,7 Days,Forest,Jungle,Wetlands,,,Omnivore,Common,,,,Ledyba,3,,,,,,,,,,,,,
Spinarak,167,Base,spinarak,spinarak,24,6,4,4,4,3,Bug,Poison,Poison Sting,Absorb,Shadow Sneak,Small,Light,Climber,Threaded,,,,,,String Shot,Swarm,,,,,,Bug,Poison,Parasitic,,,,,"Spider Web, Sticky Web, Toxic Thread",Bug,,7 Days,Forest,Woodlands,,,,Carnivore,Common,,,,,1,,,,,,,,,,,,,
Ariados,168,Base,ariados,ariados,42,9,7,6,7,4,Bug,Poison,Pin Missile,Cross Poison,Toxic Thread,Medium,Medium,Climber,Threaded,,,,,,Agility,Swords Dance,Insomnia,Sniper,Swarm,,,Bug,Poison,Parasitic,,,,,"Spider Web, Sticky Web, Toxic Thread",Bug,,7 Days,Forest,Woodlands,,,,Carnivore,Common,,,,Spinarak,3,,,,,,,,,,,,,
Crobat,169,Base,crobat,crobat,54,9,8,7,8,13,Poison,Flying,Cross Poison,Confuse Ray,Acrobatics,Large,Heavy,Flight,,,,,,,Infiltrator,Inner Focus,Screech,,,,,Flying,Poison,Fangs,Winged,,,,,Flying,,7 Days,Cave,,,,,Omnivore,Common,,,,Golbat,3,,,,,,,,,,,,,
Chinchou,170,Base,chinchou,chinchou,48,4,4,6,6,7,Water,Electric,Bubble,Thunder Wave,Electro Ball,Small,Medium,Fountain,Flopper,Gilled,Glow,Swimmer,Zapper,,Volt Absorb,,,,,,,Electric,Water,Piscian,,,,,Ion Deluge,Water2,,10 Days,Ocean Abyss,Ocean Floors,,,,Omnivore,Uncommon,,,,,1,,,,,,,,,,,,,
Lanturn,171,Base,lanturn,lanturn,78,6,6,8,8,7,Water,Electric,Confuse Ray,Bubble Beam,Discharge,Medium,Medium,Fountain,Flopper,Gilled,Glow,Swimmer,Zapper,,Volt Absorb,Water Absorb,,,,,,Electric,Water,Piscian,,,,,Ion Deluge,Water2,,10 Days,Ocean Abyss,Ocean Floors,,,,Omnivore,Uncommon,,,,Chinchou,3,,,,,,,,,,,,,
Pichu,172,Base,pichu,pichu,12,4,2,4,4,6,Electric,,Thunder Shock,Sweet Kiss,Thunder Wave,Small,Featherweight,Zapper,,,,,,,Charm,Nasty Plot,Tail Whip,Static,,,,Electric,Cutesy,,,,,,"Electroweb, Volt Tackle",Field,Fairy,4 Days,Forest,Urban,,,,Herbivore,Uncommon,,,,,1,,,,,,,,,,,,,
Pichu,172,Base/Alolan,pichu,pichu,12,4,2,4,4,6,Electric,,Thunder Shock,Sweet Kiss,Thunder Wave,Small,Featherweight,Zapper,,,,,,,Charm,Nasty Plot,Tail Whip,Static,,,,Electric,Cutesy,,,,,,"Electroweb, Volt Tackle",Field,Fairy,4 Days,Forest,Urban,,,,Herbivore,Uncommon,,,,,1,,,,,,,,,,,,,
Cleffa,173,Base,cleffa,cleffa,30,3,3,5,6,2,Fairy,,Pound,Sweet Kiss,Sing,Small,Featherweight,None,,,,,,,Charm,Cute Charm,,,,,,Fairy,Healer,Normal Block,Spellcraft,Weather,Weird,,Minimize,Fairy,,10 Days,Cave,Mountains,,,,Herbivore,Uncommon,,,,,1,,,,,,,,,,,,,
Igglybuff,174,Base,igglybuff,igglybuff,54,3,2,4,2,2,Normal,Fairy,Sing,Pound,Sweet Kiss,Small,Featherweight,Inflatable,Hover,,,,,,Defense Curl,Cute Charm,,,,,,Fairy,Elemental Attacks,Normal Block,Cutesy,,,,,Fairy,,4 Days,Meadows,Mountains,,,,Herbivore,Uncommon,,,,,1,,,,,,,,,,,,,
Togepi,175,Base,togepi,togepi,24,2,7,4,7,2,Fairy,,Sweet Kiss,Yawn,Encore,Small,Featherweight,None,,,,,,,Charm,Super Luck,,,,,,No moves from Any,,,,,,,Metronome,Fairy,,4 Days,Forest,,,,,Herbivore,Uncommon,,,,,1,,,,,,,,,,,,,
Togetic,176,Base,togetic,togetic,36,4,9,8,11,4,Fairy,Flying,Metronome,Wish,Ancient Power,Small,Light,Flight,,,,,,,Charm,Super Luck,,,,,,Fairy,Flying,Avian,Elemental Attacks F,Winged,Cutesy,,Metronome,Fairy,,4 Days,Forest,,,,,Herbivore,Uncommon,,,,Togepi,2,,,,,,,,,,,,,
Natu,177,Base,natu,natu,24,5,5,7,5,7,Psychic,Flying,Peck,Confuse Ray,Teleport,Tiny,Featherweight,Telekinetic,,,,,,,Leer,Early Bird,,,,,,Flying,Ghost,Psychic,Avian,Winged,,,Miracle Eye,Flying,,10 Days,Desert,Forest,Jungle,,,Herbivore,Uncommon,,,,,1,,,,,,,,,,,,,
Xatu,178,Base,xatu,xatu,42,8,7,10,7,10,Psychic,Flying,Air Slash,Psychic,Future Sight,Medium,Medium,Flight,Telekinetic,,,,,,Leer,Early Bird,Synchronize,Magic Bounce,,,,Flying,Ghost,Psychic,Avian,Winged,,,"Miracle Eye, Psycho Shift",Flying,,10 Days,Desert,Forest,Jungle,,,Herbivore,Uncommon,,,,Natu,3,,,,,,,,,,,,,
Mareep,179,Base,mareep,mareep,36,4,4,7,5,4,Electric,,Tackle,Thunder Wave,Thunder Shock,Medium,Medium,Zapper,,,,,,,Growl,Static,,,,,,Electric,Cutesy,,,,,,,Monster,Field,10 Days,Field,,,,,Herbivore,Common,,,,,1,,,,,,,,,,,,,
Flaaffy,180,Base,flaaffy,flaaffy,42,6,6,8,6,5,Electric,,Charge,Take Down,Electro Ball,Medium,Medium,Zapper,,,,,,,Cotton Guard,Cotton Spore,Static,,,,,Electric,Cutesy,,,,,,,Monster,Field,10 Days,Field,,,,,Herbivore,Common,,,,Mareep,2,,,,,,,,,,,,,
Ampharos,181,Base,ampharos,ampharos,54,8,9,12,9,6,Electric,,Thunder Punch,Confuse Ray,Power Gem,Medium,Medium,Zapper,,,,,,,Cotton Guard,Cotton Spore,Plus,Static,,,,Electric,Cutesy,Draconian,Energy Blast,,,,Ion Deluge,Monster,Field,10 Days,Field,,,,,Herbivore,Common,,,,Flaaffy,3,,,,,,,,,,,,,
Ampharos,181,Mega,ampharos-mega,ampharos-mega,54,10,11,17,11,5,Electric,Dragon,Thunder Punch,Confuse Ray,Power Gem,Large,Medium,Zapper,,,,,,,Cotton Guard,Cotton Spore,Plus,Static,Mold Breaker,,,Electric,Cutesy,Draconian,Energy Blast,,,,Ion Deluge,Monster,Field,10 Days,Field,,,,,Herbivore,Common,Ampharos,Mega,,Flaaffy,3,,,,,,,,,,,,,
Bellossom,182,Base,bellossom,bellossom,48,8,10,9,10,5,Grass,,Magical Leaf,Petal Dance,Leaf Storm,Small,Light,Sprouter,Alluring,,,,,,Quiver Dance,Chlorophyll,Healer,,,,,Grass,Poison,Floral,,,,,Moonlight,Grass,,10 Days,Jungle,Plains,Swamp,,,Phototroph,Uncommon,,,,Gloom,3,,,,,,,,,,,,,
Marill,183,Base,marill,marill,42,2,5,2,5,4,Water,Fairy,Rollout,Bubble Beam,Helping Hand,Small,Light,Fountain,Swimmer,,,,,,Charm,Huge Power,Thick Fat,,,,,Fairy,Water,Cutesy,,,,,Bounce,Water1,Fairy,4 Days,Lakes,Ponds,Rivers,,,Herbivore,Common,,,,Azurill,2,,,,,,,,,,,,,
Azumarill,184,Base,azumarill,azumarill,60,5,8,6,8,5,Water,Fairy,Aqua Tail,Play Rough,Aqua Ring,Medium,Medium,Fountain,Swimmer,,,,,,Charm,Huge Power,Sap Sipper,Thick Fat,,,,Fairy,Water,Cutesy,Bruiser,,,,Bounce,Water1,Fairy,4 Days,Lakes,Ponds,Rivers,,,Herbivore,Common,,,,Marill,3,,,,,,,,,,,,,
Sudowoodo,185,Base,sudowoodo,sudowoodo,42,10,12,3,7,3,Rock,,Slam,Hammer Arm,Head Smash,Medium,Medium,Sinker,,,,,,,Rattled,Rock Head,Sturdy,Tearful Look,,,,Grass (Melee Attacks),Rock,Punches,Stampeding,,,,Wood Hammer,Mineral,,10 Days,Forest,,,,,Terravore,Rare,,,,Bonsly,3,,,,,,,,,,,,,
Politoed,186,Base,politoed,politoed,54,8,8,9,10,7,Water,,Swagger,Bounce,Hyper Voice,Medium,Medium,Fountain,Gilled,Swimmer,,,,,Damp,Drizzle,Water Absorb,,,,,Water,Sound,Fighting,,,,,"Bounce, Perish Song",Water1,,10 Days,Cave,Ponds,Lakes,,,Omnivore,Common,,,,Poliwhirl,3,,,,,,,,,,,,,
Hoppip,187,Base,hoppip,hoppip,24,4,4,4,6,5,Grass,Flying,Splash,Synthesis,Tackle,Small,Featherweight,Flight,Sprouter,,,,,,Tail Whip,Chlorophyll,,,,,,Grass,Flying,,,,,,,Fairy,Grass,7 Days,Forest,Field,Mountains,,,Phototroph,Common,,,,,1,,,,,,,,,,,,,
Skiploom,188,Base,skiploom,skiploom,36,5,5,5,7,8,Grass,Flying,Bullet Seed,Leech Seed,Acrobatics,Small,Featherweight,Flight,Sprouter,,,,,,Tail Whip,Chlorophyll,Leaf Guard,,,,,Grass,Flying,,,,,,,Fairy,Grass,7 Days,Forest,Field,Mountains,,,Phototroph,Common,,,,Hoppip,2,,,,,,,,,,,,,
Jumpluff,189,Base,jumpluff,jumpluff,48,6,7,6,10,11,Grass,Flying,Rage Powder,Giga Drain,Bounce,Medium,Featherweight,Flight,Sprouter,,,,,,Cotton Spore,Tail Whip,Chlorophyll,Infiltrator,Leaf Guard,,,Grass,Flying,,,,,,,Fairy,Grass,7 Days,Forest,Field,Mountains,,,Phototroph,Common,,,,Skiploom,3,,,,,,,,,,,,,
Aipom,190,Base,aipom,aipom,36,7,6,4,6,9,Normal,,Fury Swipes,Swift,Astonish,Small,Medium,Climber,,,,,,,Screech,Run Away,,,,,,Elemental Attacks E,Martial (No Kicks),,,,,,,Field,,10 Days,Forest,Jungle,,,,Omnivore,Uncommon,,,,,1,,,,,,,,,,,,,
