Name,Range,Type,Stat,Frequency,DiceRoll,Effects,Granted Skills,Contest Stat,Contest Keyword
Enigma Transformation,Ranged(25ft),Normal,Effect,At-Will,,"You transform into another non-legendary Pokémon then recover 25 HP. You can use any of the Pokémon’s moves and have all of its passives. You may also use any move that the Pokémon could feasibly learn while transformed. Mew retains all of its moves and passives, but may replace its non-HP stats when Mew transforms with the Pokémon Mew transformed into. 3/day Enigma Transformation can be used as a free action. Enigma Transformation lasts as long as Mew wants it to. Enigma Transformation fails if used by anything but a Mew.",,,
Eruption,Ranged(30ft burst),Fire,Special,1/day,3d10,"If you are at Max HP, Eruption has 5d12 for damage instead.",,Beauty,Round Ender
Eternabeam,Ranged(100ft),Dragon,Special,3/day,7d10,You cannot act during the next round.,,,
Expanding Force,Ranged(30ft),Psychic,Special,1/day,3d12,"If you are within Psychic Terrain while using Expanding Force, it deals +2d12 damage on hit.",,Clever,Appeal
Explosion,Ranged(30ft burst),Normal,Attack,1/day,10d20,"Set your HP to 0, then roll 1d20. On 15 or less, your HP is set to -100% HP and you must make a death savings throw.",,Beauty,Big Show
Extrasensory,Ranged(10ft),Psychic,Special,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",Telekinetic,Cool,Round Starter
Extreme Evoboost,Self,Normal,Effect,1/day,,"Your Attack, Defense, Special Attack, Special Defense, and Speed are +6 for 10 mins.",,,
Extreme Speed,Melee,Normal,Attack,3/day,3d10,Extreme Speed has Priority and cannot be contested for Priority.,,Cool,Quick Set
Facade,Melee,Normal,Attack,1/day,3d8,"If you have an afflic-tion, use 5d12 as damage instead.",,Cute,Final Appeal
Fairy Lock,Ranged(30ft burst),Fairy,Effect,1/day,,"Until your next turn, Pokémon within range cannot be returned to Poke Balls, nor can they be caught by Poke Balls.",,Cute,Hold That Thought
Fairy Wind,Ranged(20ft),Fairy,Special,At-Will,1d12,,,Beauty,Appeal
Fake Out,Melee,Normal,Attack,At-Will,2d6,"Fake Out has Priority. Fake Out can only be used as the first action during an encounter. On hit, the target is Stunned.",,Cute,Round Starter
False Surrender,Melee,Dark,Attack,1/day,3d12,You can’t miss targets with less than 20 Defense.,,Cute,Round Starter
Feint Attack,Melee,Dark,Attack,3/day,3d8,You can’t miss targets with less than 15 Defense.,,Clever,Round Ender
Fell Stinger,Melee,Bug,Attack,At-Will,2d8,"If you knock out a target with Fell Stinger, your Attack is +2 for 10 mins. This effect cannot be stacked.",,Clever,Get Ready!
Fiery Dance,Ranged(20ft),Fire,Special,1/day,3d12,"On hit, your Special Attack is +2 for 10 mins. This effect cannot be stacked.",Firestarter,Cool,Round Ender
Fiery Wrath,Ranged(20ft),Fire,Special,1/day,3d10,"On hit, if you got 16 or higher on Accuracy Check, the target is Stunned.",,,
Final Gambit,Melee,Fighting,Special,1/day,,"On hit, your HP is set to 0, dealing damage equal to the HP you lost.",,Tough,Big Show
Fire Blast,"Ranged(40ft, 10ft blast)",Fire,Special,1/day,5d12,"Fire Blast has -2 during Accuracy Check unless it’s Sunny. On hit, if you got 18 or higher on Accuracy Check, the targets are Burned.",Firestarter,Beauty,Round Starter
Fire Fang,Melee,Fire,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, the target is randomly either Stunned or Burned.",Firestarter,Beauty,Appeal
Fire Lash,Melee,Fire,Attack,1/day,3d12,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",Firestarter,Beauty,Round Starter
Fire Punch,Melee,Fire,Attack,3/day,3d8,"On hit, if you got 17 or higher on Accuracy Check, the target is Burned.",,Beauty,Round Starter
Fire Spin,Ranged(20ft),Fire,Special,3/day,1d4,"On hit, the target is bound in place for 1d4 rounds. For each round the target is bound, it takes 1d4 special damage on its turns.",Firestarter,Beauty,Torrential Appeal
First Impression,Melee,Bug,Attack,1/day,3d10,"First Impression has Priority. First Impression can only be used as the first action during an encounter. On hit, the target is Stunned.",,Cute,Round Starter
Fishious Rend,Melee,Water,Attack,1/day,3d8,"If the target has not already acted this round, Fishious Rend deals +2d8 damage.",,Tough,Incentives
Fissure,Ranged(25ft beam),Ground,Attack,1/day,,"On hit, roll 1d20. On a natural result of 17, 18, 19, or 20, the target is set to 0 HP.",,Tough,Big Show
Flail,Melee,Normal,Attack,1/day,1d10,"If you are at less than half of your Max HP, Flail has 1d20 for damage instead. If you are at less than 5 HP, Flail has 5d12 for damage instead.",,Cute,Final Appeal
Flame Burst,"Ranged(20ft, 5ft burst)",Fire,Special,3/day,3d8,,Firestarter,Beauty,Round Starter
Flame Charge,Melee,Fire,Attack,At-Will,2d8,"On hit, your Speed is +1 for 10 mins. This effect cannot be stacked.",Firestarter,Tough,Excitement
Flame Wheel,Melee,Fire,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Burned.",Firestarter,Beauty,Reliable
Flamethrower,Ranged(20ft beam),Fire,Special,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Burned.",Firestarter,Beauty,Round Starter
Flare Blitz,Melee,Fire,Attack,1/day,5d12,"On hit, you lose HP equal to 1/3rd of the damage you deal and if you got 18 or higher on Accuracy Check, the target is Burned.",Firestarter,Clever,Seen Nothing Yet
Flash,Ranged(10ft),Normal,Effect,At-Will,,"On hit, the target’s Accuracy Checks are -1 during their next turn. This effect cannot be stacked.",Glow,Beauty,Unsettling
Flash Cannon,Ranged(20ft),Steel,Special,3/day,3d10,"On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",,Clever,Round Starter
Flash Kick,Melee,Electric,Attack,1/day,3d12,"On hit, if you got 16 or higher on Accuracy Check, the target is Paralyzed.",,,
Flatter,Ranged(10ft),Normal,Effect,1/day,,"On hit, the target is Confused and the target’s Special Attack is +4 until they are no longer Confused.",,Clever,Excitement
Fleur Cannon,"Ranged(40ft, 20ft blast)",Fairy,Attack,3/day,5d20,,,,
Floral Healing,Melee,Fairy,Effect,1/day,,"Target an ally or yourself. The target is healed HP equal to half of the target’s Max HP. If you are within Grassy Terrain, the target is healed HP equal to 3/4ths of the target’s Max HP instead.",,Beauty,Reflective Appeal
Flower Shield,Field,Fairy,Effect,3/day,,"You create a circle of Flowery Terrain with a 60ft diameter. While within the Flowery terrain, all Grass-types and Fairy-types have +1 Defense and +1 Special Defense. This terrain disappears after 2 mins.",,Beauty,Seen Nothing Yet
Fly,Melee,Flying,Attack,1/day,3d12,"When you use this attack, you raise yourself 40ft into the air, then you immediately end your turn. During your next turn, your movement speed is tripled and after getting to a target you may roll Fly’s Accuracy Check and damage.",Flight,Clever,Special Attention
Flying Press,Melee,Fighting/Flying,Attack,1/day,5d12,Flying Press counts as both a Flying and Fighting type move for effectiveness.,,Beauty,Good Show!
Focus Blast,Ranged(30 ft),Fighting,Special,1/day,5d12,"Focus Blast has -2 during Accuracy Check. On hit, the target’s Special Defense is -1 for 10 mins. This effect cannot be stacked.",,Cool,Round Starter
Focus Punch,Melee,Fighting,Attack,3/day,5d12,"When you use this attack you immediately end your turn. If are hit with an attack before your next turn, you are Stunned. On your next turn, if you were not Stunned your movement speed is doubled and after getting to a target you may roll Focus Punch’s Accuracy Check and damage.",,Tough,Special Attention
Follow Me,Ranged(30ft burst),Normal,Effect,3/day,,"On hit, all affected foes will only attack you until you are knocked out.",,Cute,Scrambler
Force Palm,Melee,Fighting,Attack,3/day,3d8,"On hit, if you got 14 or higher on Accuracy Check, the target is Paralyzed.",,Cool,Round Ender
Foresight,Self,Normal,Effect,At-Will,,You can hit Ghost-types with Normal and Fighting type moves as if they are not immune to those types of attacks for two mins.,,Clever,Good Show!
Forest's Curse,Ranged(15ft),Grass,Effect,3/day,,"On hit, put a Forest Coat on the target. The Coat has the following ability: You lose your current Types and become only Grass-type for 10 mins.",,Clever,Torrential Appeal
Freeze-Dry,Ranged(10ft),Ice,Special,3/day,3d8,"Freeze-Dry is Super effective against Water types. On hit, if you got 18 or higher on Accuracy Check, the target is Frozen.",Freezer,Beauty,Round Starter
Freeze Shock,"Ranged(40ft, 20ft blast)",Ice,Attack,3/day,3d12,"On hit, if you got 12 or higher on Accuracy Check, the targets are Paralyzed.",,,
Freezing Glare,Ranged(20ft),Psychic,Special,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Frozen.",,,
Frenzy Plant,Ranged(25ft beam),Grass,Special,1/day,5d20,Frenzy Plant has -2 during Accuracy Check. You cannot act during the next round.,Sprouter,Cool,Seen Nothing Yet
Frost Breath,Ranged(10ft),Ice,Special,3/day,2d8,"Frost Breath has -2 during Accuracy Check. On hit, Frost Breath always counts as a critical hit.",Freezer,Beauty,Appeal
Frost Kick,Melee,Ice,Attack,1/day,3d12,"On hit, if you got 16 or higher on Accuracy Check, the target is Frozen.",,,
Frustration,Melee,Normal,Attack,3/day,3d10,Frustration can only be used if you have less than 1 loyalty.,,Cute,Round Ender
Fury Attack,Melee,Normal,Attack,At-Will,1d4,Fury Attack has -2 during Accuracy Check. Fury Attack is a Scatter attack. Up to 5 attacks.,,Cool,Reliable
Fury Cutter,Melee,Bug,Attack,At-Will,1d4,"For each time you’ve successfully used Fury Cutter against the same target during the encounter, add 1d8 to Fury Cutter’s damage.",,Cool,Reliable
Fury Swipes,Melee,Normal,Attack,At-Will,1d4,Fury Swipes has -2 during Accuracy Check. Fury Swipes is a Scatter attack. Up to 5 attacks.,,Tough,Reliable
Future Sight,Ranged(30ft),Psychic,Special,1/day,5d12,"When you use this attack you immediately end your turn. In two rounds, select any target within 30ft of you to target with Future Sight then you may roll Future Sight’s Accuracy Check and damage.",,Clever,Round Starter
Fusion Bolt,Ranged(20ft),Electric,Attack,3/day,3d12,"If Fusion Flare was used by anyone during the last 20 seconds, Fusion Bolt has 7d12 for damage instead.",,,
Fusion Flare,Ranged(20ft),Fire,Special,3/day,3d12,"If Fusion Bolt was used by anyone during the last 20 seconds, Fusion Flare has 7d12 for damage instead.",,,
G-Max Befuddle,"Ranged(80ft, 30ft blast)",Bug,(Variable),At-Will,3d12,"On hit, all targets are randomly Poisoned, Paralyzed, or put to Sleep. You cannot act during the next round.",,,
G-Max Cannonade,"Ranged(80ft, 30ft blast)",Water,(Variable),At-Will,4d12,"On hit, all targets take 1d4 damage when they act until you are no longer Gigantamaxed. You cannot act during the next round.",,,
G-Max Centiferno,"Ranged(80ft, 30ft blast)",Fire,(Variable),At-Will,2d12,"On hit, all targets are bound to the ground for 1d4 turns. You cannot act during the next round.",,,
G-Max Chi Strike,"Ranged(80ft, 30ft blast)",Fighting,(Variable),At-Will,2d12,"On hit, all allies within 60ft heal score critical hits on naturally rolled 19 and 20 until you are no longer Gigantamaxed. You cannot act during the next round",,,
G-Max Cuddle,"Ranged(80ft, 30ft blast)",Normal,(Variable),At-Will,3d12,"On hit, all targets are Infatuated. You cannot act during the next round.",,,
G-Max Depletion,"Ranged(80ft, 30ft blast)",Dragon,(Variable),At-Will,3d12,"On hit, all targets cannot use whatever move they last used until you are no longer Gigantamaxed. You cannot act during the next round.",,,
G-Max Drum Solo,"Ranged(80ft, 30ft blast)",Grass,(Variable),At-Will,6d12,You cannot act during the next round.,,,
G-Max Finale,"Ranged(80ft, 30ft blast)",Fairy,(Variable),At-Will,2d12,"On hit, all allies within 60ft heal 1d12 HP. You cannot act during the next round.",,,
G-Max Fireball,"Ranged(80ft, 30ft blast)",Fire,(Variable),At-Will,6d12,You cannot act during the next round.,,,
G-Max Flavorful,"Ranged(80ft, 30ft blast)",Grass,(Variable),At-Will,2d12,"On hit, all allies within 60ft are cured of any afflictions. You cannot act during the next round.",,,
G-Max Foam Burst,"Ranged(80ft, 30ft blast)",Water,(Variable),At-Will,4d12,"On hit, all targets Speed is -2 for 2 mins. You cannot act during the next round.",,,
G-Max Gold Rush,"Ranged(80ft, 30ft blast)",Normal,(Variable),At-Will,3d12,"On hit, all targets are Confused. You cannot act during the next round.",,,
G-Max Gravitas,"Ranged(80ft, 30ft blast)",Psychic,(Variable),At-Will,4d12,"At the center of the blast, you create a circle of Gravity Terrain with a 60ft diameter. Within the terrain, Pokémon may not leave the ground and any Pokémon that are in the air are brought down to the ground. This terrain disappears after 2 mins. You cannot act during the next round.",,,
G-Max Hydrosnipe,"Ranged(80ft, 30ft blast)",Water,(Variable),At-Will,6d12,You cannot act during the next round.,,,
G-Max Malodor,"Ranged(80ft, 30ft blast)",Poison,(Variable),At-Will,3d12,"On hit, all targets are Poisoned. You cannot act during the next round.",,,
G-Max Meltdown,"Ranged(80ft, 30ft blast)",Steel,(Variable),At-Will,3d12,"On hit, all targets cannot use a move that they used during their previous action for 1 min.",,,
G-Max Replenish,"Ranged(80ft, 30ft blast)",Normal,(Variable),At-Will,3d12,"On hit, all allies within 60ft recover any berries they may have used during this combat, unless they have already recovered a berry this combat. You cannot act during the next round.",,,
G-Max Resonance,"Ranged(80ft, 30ft blast)",Water,(Variable),At-Will,2d12,"On hit, your Defense and Special Defense are +1 for 1 min. You cannot act during the next round.",,,
G-Max Sandblast,"Ranged(80ft, 30ft blast)",Ground,(Variable),At-Will,2d12,"On hit, all targets are bound to the ground for 1d4 turns. You cannot act during the next round.",,,
G-Max Smite,"Ranged(80ft, 30ft blast)",Fairy,(Variable),At-Will,3d12,"On hit, all targets are Confused. You cannot act during the next round.",,,
G-Max Snooze,"Ranged(80ft, 30ft blast)",Dark,(Variable),At-Will,3d12,"On hit, all targets fall Asleep after their next turns. You cannot act during the next round.",,,
G-Max Steelsurge,"Ranged(80ft, 30ft blast)",Steel,(Variable),At-Will,2d12,"On hit, place the Spikes Hazard in the blast area. Spikes Hazard has the following ability: When a foe moves through Spikes Hazard during their turn and are on the ground, they lose 1/8th of their Max HP. This Hazard disappears after 2 mins. You cannot act during the next round.",,,
G-Max Stonesurge,"Ranged(80ft, 30ft blast)",Water,(Variable),At-Will,2d12,"On hit, place the 2 Stealth Rock Hazards in the blast zone. Stealth Rock Hazard has the following ability: If a foe moves within 20 ft of Stealth Rock Hazard, it will hurl itself at the foe, destroying itself and dealing 2d12 Rock-type damage to the foe without needing an Accuracy Check. You cannot act during the next round.",,,
G-Max Stun Shock,"Ranged(80ft, 30ft blast)",Electric,(Variable),At-Will,3d12,"On hit, all targets are randomly Poisoned or Paralyzed. You cannot act during the next round.",,,
G-Max Terror,"Ranged(80ft, 30ft blast)",Ghost,(Variable),At-Will,2d12,"On hit, all targets are bound to the ground for 1d4 turns. You cannot act during the next round.",,,
G-Max Vine Lash,"Ranged(80ft, 30ft blast)",Grass,(Variable),At-Will,4d12,"On hit, all targets take 1d4 damage when they act until you are no longer Gigantamaxed. You cannot act during the next round.",,,
G-Max Volt Crash,"Ranged(80ft, 30ft blast)",Electric,(Variable),At-Will,3d12,"On hit, all targets are Paralyzed. You cannot act during the next round.",,,
G-Max Wildfire,"Ranged(80ft, 30ft blast)",Fire,(Variable),At-Will,4d12,"On hit, all targets take 1d4 damage when they act until you are no longer Gigantamaxed. You cannot act during the next round.",,,
G-Max Volcalith,"Ranged(80ft, 30ft blast)",Rock,(Variable),At-Will,4d12,"On hit, all targets take 1d4 damage when they act until you are no longer Gigantamaxed. You cannot act during the next round.",,,
G-Max Wind Rage,"Ranged(80ft, 30ft blast)",Flying,(Variable),At-Will,4d12,"On hit, remove all weather, terrain, hazards, coats, from the battlefield. You cannot act during the next round.",,,
Gastro Acid,Ranged(10ft),Poison,Effect,3/day,,"On hit, the target cannot benefit from any passives unless it’s a passive that raises its stats for 10 mins.",Repulsive,Beauty,Hold That Thought
Gear Grind,Melee,Steel,Attack,3/day,1d20,Gear Grind is a Scatter attack. It has two attacks.,,Cool,Reliable
Geomancy,Self,Fairy,Effect,3/day,,"Your Special Attack, Special Defense, and Speed are +4 for 10 mins.",,,
Giga Drain,Melee,Grass,Special,1/day,3d12,"On hit, you regain HP equal to half of the damage dealt.",,Clever,Good Show!
Giga Impact,Melee(10ft burst),Normal,Attack,1/day,5d20,Giga Impact has -2 during Accuracy Check. You cannot act during the next round.,,Beauty,Seen Nothing Yet
Gigavolt Havoc,"Ranged(60ft, 20ft blast)",Electric,(Variable),1/day,8d12,,,,
Glacial Lance,Ranged(50ft burst,Ice,Attack,3/day,5d20,,,,
Glaciate,Ranged(40ft),Ice,Attack,3/day,3d12,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",Freezer,Beauty,Appeal
Glare,Ranged(20ft),Normal,Effect,1/day,,"On hit, the target becomes Paralyzed.",,Tough,Excitement
Grass Knot,Melee,Grass,Special,3/day,3d10,Grass Knot can only target heavier targets.,Sprouter,Clever,Incentives
Grass Whistle,Ranged(20ft burst),Grass,Effect,1/day,,"Grass Whistle has -5 during Accuracy Check. On hit, all targets fall Asleep.",,Clever,Excitement
Grassy Glide,Melee,Grass,Attack,3/day,3d8,Grassy Glide has priority if you’re in Grassy Terrain.,,Cool,Appeal
Grassy Terrain,Field,Grass,Effect,3/day,,"You create a circle of Grassy Terrain with a 60ft diameter. Anyone who acts within the Grassy terrain recovers 1d12 HP after acting. Within the Grassy Terrain, Grass-type attacks deal an additional 8 damage. This terrain disappears after 2 mins.",,Cute,Good Show!
Grav Apple,Ranged(15ft),Grass,Attack,3/day,3d10,"On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Cool,Inversed Appeal
Gravity,Field,Psychic,Effect,3/day,,"You create a circle of Gravity Terrain with a 60ft diameter. Within the terrain, Pokémon may not leave the ground and any Pokémon that are in the air are brought down to the ground. This terrain disappears after 2 mins.",,Beauty,Hold That Thought
Guardian Sign,Ranged(25ft),Normal,Effect,1/day,,"Guardian Sign is used as a Reaction (as your action if you hAvian’t acted yet this round). If one of your Pokémon, your Helpful Pokémon, or your Companion Pokémon is hit by an attack, ignore the damage and any effects of the attack.",,,
Guillotine,Melee,Normal,Attack,1/day,,"On hit, roll 1d20. On a natural result of 17, 18, 19, or 20, the target is set to 0 HP.",,Cool,Big Show
Gunk Shot,"Ranged(20ft, 10ft blast)",Poison,Attack,1/day,5d12,"On hit, if you got 14 or higher on Accuracy Check, the target is Poisoned.",Repulsive,Cool,Appeal
Gust,Ranged(20ft),Flying,Special,At-Will,1d12,"If the target is at least 20 ft off the ground airborne, Gust deals +1d20 damage.",Guster,Clever,Appeal
Gyro Ball,Melee,Steel,Attack,3/day,3d10,Gyro Ball can only target faster targets.,,Beauty,Final Appeal
Hail,Field,Ice,Effect,3/day,,You create a circle of Hailing Weather with a 60ft diameter. Anyone who acts within the Hailing weather takes 2d4 damage after acting unless they are Ice Type. This weather disappears after 2 mins.,,Beauty,Hold That Thought
Hammer Arm,Melee,Fighting,Attack,1/day,5d12,"On hit, your Speed is -1 for 10 mins. This effect cannot be stacked.",,Tough,Slow Set
Haze,Field,Ice,Effect,3/day,,"You create a circle of Hazy Weather with a 60ft diameter. Within the Hazy weather, all stat altering passives are disabled. Stats cannot be altered by anything within the Hazy weather. This weather disappears after 2 mins.",,Beauty,Hold That Thought
Head Charge,Melee,Normal,Attack,3/day,3d10,"On hit, you lose HP equal to 1/4th of the damage you deal.",,Tough,Appeal
Head Smash,Melee,Rock,Attack,1/day,7d12,"On hit, you lose HP equal to half of the damage you deal. Head Smash has -2 during Accuracy Check.",,Tough,Seen Nothing Yet
Headbutt,Melee,Normal,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Heal Bell,Ranged(10ft burst),Normal,Effect,1/day,,You and all allies within range are cured of all afflictions.,,Beauty,Reflective Appeal
Heal Block,Ranged(30ft burst),Psychic,Effect,1/day,,All affected targets cannot be healed or heal for 1 minute.,,Cute,Hold That Thought
Heal Order,Self,Bug,Effect,1/day,,You are healed HP equal to half of your Max HP.,,Clever,Reflective Appeal
Heal Pulse,Ranged(10ft),Psychic,Effect,1/day,,Target an ally or yourself. The target is healed HP equal to half of the target’s Max HP.,,Beauty,Reflective Appeal
Healing Wish,Melee,Psychic,Effect,1/day,,"Your HP is set to 0, then target ally is healed to Max HP and cured of any afflictions.",,Cute,Torrential Appeal
Heart Stamp,Melee,Psychic,Attack,At-Will,2d8,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Cute,Appeal
Heat Crash,Melee,Fire,Attack,3/day,3d10,Heat Crash can only target lighter targets.,Firestarter,Tough,Incentives
Heat Flash,Ranged(10ft),Fire,Effect,At-Will,1d4,"On hit, the target’s Accuracy Checks are -1 during their next turn. This effect cannot be stacked.",,,
Heat Wave,Ranged(25ft burst),Fire,Special,1/day,3d12,"On hit, if you got 17 or higher on Accuracy Check, targets are Burned.",Firestarter,Beauty,Round Starter
Heavy Slam,Melee,Steel,Attack,3/day,3d10,Heavy Slam can only target lighter targets.,,Tough,Incentives
Helping Hand,Melee,Normal,Effect,3/day,,Target ally’s next attack during this round will deal +1d20 damage.,,Clever,Good Show!
Hex,Ranged(15ft),Ghost,Special,3/day,3d8,"If the target is afflicted, Hex has 5d8 for damage instead.",,Clever,Incentives
Hidden Power,Ranged(25ft),(Variable),Special,3/day,3d8,"When Hidden Power is added to a move list, assign a random Type to it.",,Clever,Catching Up
High Horsepower,Melee,Ground,Attack,3/day,3d10,,,Clever,Round Ender
High Jump Kick,Melee,Fighting,Attack,1/day,5d12,"High Jump Kick has -2 during Accuracy Check. If you miss, you lose HP equal to half of your Max HP.",,Cool,Appeal
Hold Back,Melee,Normal,Attack,At-Will,2d6,"Hold Back cannot be used to knock out a target. Instead, the target will still have 1 HP.",,Cool,Inversed Appeal
Horn Attack,Melee,Normal,Attack,At-Will,2d8,,,Cool,Appeal
Horn Drill,Melee,Normal,Attack,1/day,,"On hit, roll 1d20. On a natural result of 17, 18, 19, or 20, the target is set to 0 HP.",,Cool,Big Show
Horn Leech,Melee,Grass,Attack,1/day,3d12,"On hit, you regain HP equal to half of the damage dealt.",,Clever,Good Show!
Hurricane,"Ranged(25ft, 10ft blast)",Flying,Special,1/day,5d12,"Hurricane has -2 during Accuracy Check unless it’s Raining. On hit, if you got 14 or higher on Accuracy Check, the targets are Confused.",Guster,Cool,Round Starter
Hydro Cannon,Ranged(25ft beam),Water,Special,1/day,5d20,Hydro Cannon has -2 during Accuracy Check. You cannot act during the next round.,Fountain,Beauty,Seen Nothing Yet
Hydro Pump,Ranged(30ft beam),Water,Special,1/day,5d12,Hydro Pump has -2 during Accuracy Check unless it’s Raining.,Fountain,Beauty,Round Starter
Hydro Surge,"Ranged(30ft beam, 10ft blast)",Water,Special,1/day,5d12,"If it’s Raining, Hydro Surge has +2 during Accuracy Check.",,,
Hydro Vortex,"Ranged(60ft, 20ft blast)",Water,(Variable),1/day,8d12,,,,
Hyper Beam,Ranged(25ft beam),Normal,Special,1/day,5d20,Hyper Beam has -2 during Accuracy Check. You cannot act during the next round.,,Cool,Seen Nothing Yet
Hyper Blast,Ranged(25ft beam),Normal,Special,1/day,5d20,Hyper Blast has -2 during Accuracy Check. You may have Hyper Blast be a Psychic-type attack.,,,
Hyper Fang,Melee,Normal,Attack,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Stunned.",,Cool,Round Ender
Hyperspace Fury,"Ranged(40ft, 10ft blast)",Dark,Special,3/day,3d12,Hyperspace Fury cannot miss.,,,
Hyperspace Hole,"Ranged(40ft, 10ft blast)",Ghost,Attack,3/day,3d12,Hyperspace Hole cannot miss,,,
Hyper Voice,Ranged(30ft beam),Normal,Special,1/day,3d12,,,Cool,Appeal
Hypnosis,Ranged(10ft),Psychic,Effect,3/day,,"Hypnosis has -4 during Accuracy Check. On hit, the target is put Asleep.",,Clever,Excitement
Ice Ball,Melee,Ice,Attack,At-Will,1d4,"For each time you’ve successfully used Ice Ball against the same target during the encounter, add 1d8 to Ice Ball’s damage.",,Beauty,Round Starter
Ice Beam,Ranged(20ft beam),Ice,Special,3/day,3d10,"On hit, if you got 18 or higher on Accuracy Check, the target is Frozen.",Freezer,Beauty,Round Starter
Ice Burn,"Ranged(40ft, 20ft blast)",Ice,Special,3/day,3d12,"On hit, if you got 12 or higher on Accuracy Check, the targets are Burned.",,,
Ice Fang,Melee,Ice,Attack,3/day,3d8,"On hit, if you got 18 or higher on Accuracy Check, the target is randomly either Stunned or Frozen.",Freezer,Cool,Appeal
Ice Hammer,Melee,Ice,Attack,1/day,5d12,"On hit, your Speed is -1 for 10 mins. This effect cannot be stacked.",,Cool,Slow Set
Ice Punch,Melee,Ice,Attack,3/day,3d8,"On hit, if you got 17 or higher on Accuracy Check, the target is Frozen.",,Beauty,Round Starter
Ice Shard,Ranged(15ft),Ice,Attack,At-Will,2d6,"At-Will 2d6. Ice Shard has Priority, but not when used as Pester Ball D.",,Beauty,Quick Set
Icicle Crash,Ranged(15ft),Ice,Attack,3/day,3d10,"On hit, if you got 14 or higher on Accuracy Check, the target is Stunned.",,Tough,Appeal
Icicle Spear,Ranged(10ft),Ice,Attack,At-Will,1d4,Icicle Spear has -2 during Accuracy Check. Icicle Spear is a Scatter attack. Up to 5 attacks.,,Beauty,Reliable
Icy Breeze,Ranged(20ft),Ice,Special,At-Will,2d6,,,,
Icy Wind,Ranged(10ft),Ice,Special,At-Will,2d8,"On hit, the target’s Speed is -1 for 10 mins. This effect cannot be stacked.",Freezer,Beauty,Slow Set
Impenetrable Stance,Ranged(40ft),Normal,Effect,1/day,,"Impenetrable Stance is used as a Reaction. If you are hit by an attack, ignore the damage and any effects of the attack. As long as you do not move or make another attack during the next three rounds of combat, you are immune to any damage from attacks, you cannot be given afflictions, and you do not take damage from the effects of any moves. If you are moved, the effects of Impenetrable Stance ends.",,,
Incinerate,Ranged(10ft),Fire,Special,At-Will,1d10,"On hit, if the target is holding a Berry, you destroy it.",Firestarter,Beauty,Appeal
Inferno,Ranged(40ft),Fire,Special,1/day,5d12,"Inferno has -5 during Accuracy Check. On hit, the target is Burned.",,Beauty,Incredible
Inferno Overdrive,"Ranged(60ft, 20ft blast)",Fire,(Variable),1/day,8d12,,,,
Infestation,Ranged(20ft),Bug,Special,At-Will,1d4,"On hit, the target is bound in place for 1d4 rounds. For each round the target is bound, it takes 1d4 special damage on its turns.",,Clever,Torrential Appeal
Ingrain,Self,Grass,Effect,1/day,,"Put a Root Coat on yourself. The Coat has the following ability: At the beginning of your turn, recover 1d12 HP. You may not move. This Coat lasts for 2 mins.",Sprouter,Clever,Torrential Appeal
Instruct,Ranged(15ft),Psychic,Effect,3/day,,Targeted ally may immediately act if they hAvian’t this round.,,Cute,Good Show!
Ion Deluge,Field,Electric,Effect,3/day,,"You create a circle of Ionic Terrain with a 60ft diameter. Within the Ionic terrain, all Normal-type attacks become Electric-type attacks. This terrain disappears after 2 mins.",,Clever,Unsettling
Iron Head,Melee,Steel,Attack,3/day,3d10,"On hit, if you got 14 or higher on Accuracy Check, the target is Stunned.",,Tough,Round Ender
Iron Tail,Melee,Steel,Attack,3/day,3d10,"Iron Tail has -2 during Accuracy Check. On hit, the target’s Defense is -1 for 10 mins. This effect cannot be stacked.",,Tough,Round Ender
Jaw Lock,Melee,Dark,Attack,3/day,3d8,"On hit, the target is bound to you for 1d6 rounds.",,Tough,Special Attention
Judgement,"Ranged(50ft, 10ft blast)",(Variable),Special,3/day,5d20,Judgement’s type is chosen when its used.,,,
Jump Kick,Melee,Fighting,Attack,3/day,3d10,"Jump Kick has -2 during Accuracy Check. If you miss, you lose HP equal to half of your Max HP.",,Cool,Appeal
Jungle Healing,Ranged(20ft),Grass,Effect,3/day,,You and any allies in range are each healed HP equal to 1/3 rd of your Max HP and are cured of any afflictions.,,,
Karate Chop,Melee,Fighting,Attack,At-Will,2d6,"On hit, if you got 18 or higher on Accuracy Check, Karate Chop is a critical hit.",,Tough,Appeal
Karate Slap,Melee,Fighting,Attack,At-Will,2d6,,,,
