Name,Effects
Viral,"When you successfully afflict a target, any adjacent foes are also afflicted with the same affliction."
Unyielding,"If you at half of your max HP or less, you cannot take more than 20 damage at a time."
Genesis Panic,"When your HP is at 40 or less HP, all of your attacks become At-Will frequency. If you use a move that you normally would not be able to use any more per day due to its frequency, you lose 1d12 HP when you use it."
Mindslaver,"When Mewtwo hits with a Psychic-type attack, the target must make a Concentration skill check of 11 or higher (Pokémon roll without adding anything). If they fail, Mewtwo may choose to deal no damage with the attack but now decides how the target acts on their turns until they make a Concentration Skill check of 16 or higher on their turn or Mewtwo dismisses them from control."
Beast Boost,"Whenever you knock out a foe, your highest stat is raised +1 for 10 mins."
RKS System,Silvally changes its type depending on which Memory is held by Silvally
Folding Form,"Once per turn as a free action, Genesect can change into its Folded Form or back into its regular form. While in its aerodynamic Folded Form, its Speed is 25, but Genesect cannot attack."
Force Field,"+5 Defense, +5 Special Defense"
Birds of Legend,You are compelled to compete for dominance in the presence of other Birds of Legend.
Legendary Sprint,"If you move in one direction for more than 100 ft, your Speed becomes 30 until you change direction or stop. While moving at this speed, you may run over any terrain."
Guardian Deity,"When at the post you are guarding (temple, shrine, sacred ground), you take 10 less damage from any attack."
Guardian Sync,"When you are with at least one other Guardian and at least one ally’s Guardian Deity is active, your HP is 420."
Swords of Justice,"Whenever you are fighting alongside another Sword of Justice, your attacks deal +6 damage. In addition, your Defense and Special Defense is +1 for each other Sword of Justice you are fighting alongside."
Force of Nature,"As a free action, you may change into your Therian Form, or change back into your Incarnate Form."
Hex Nut Fist,Your punching attacks deal +8 damage.
Legendary Flight,"If you move in one direction for more than 100 ft, your Speed becomes 30 until you change direction or stop."
Legendary Titans,"When gathered with at least two other Legendary Titans, Regigigas is compelled to awaken if nearby."
Transistor,Electric-type attacks used within 100ft of you deal +8 damage.
Dragon's Maw,Dragon-type attacks used within 100ft of you deal +8 damage.
Monstrous Strength,Regigigas can move mountains by shoving them as quickly as it can move.
Slow Start,"At the beginning of each of its turns, Regigigas gets +2 Attack, +2 Special Attack, and +2 Speed unless those stats are at 20 or higher. Then, if Regigigas uses Giga Impact or Hyper Beam while any of its stats are at 20 or higher, its Attack, Special Attack, and Speed are reset to 2 each and all of its frequencies are refreshed as if Regigigas has taken a long rest."
Master of Birds,"You are compelled to quell fighting between Articuno, Zapdos, and Moltres."
Guardian Multiscale,"When you are above half Max HP, you take -1d20 damage from all attacks."
Master of Beasts,"You are compelled to protect Raikou, Entei, and Suicune when any of them are in danger and you are nearby."
Prince of the Sea,You are compelled to protect the ocean.
Guardian of the Forest,You are compelled to protect forests.
Victory Star,+5 to accuracy checks
Sky Warrior,"As a free action, you may change into your Sky Form, or change back into your Land Form."
Chilling Neigh,"When you knock out a foe, your Attack is +2 for 10 mins."
Mount,"As a free action, Calyrex can begin to ride you. While mounted, you both move using the Speed of Calyrex Ice or Shadow Rider. When acting, you both act at the same time and you both make attacks during the Calyrex Ice or Shadow Rider’s turn. You are only knocked out once Calyrex Ice or Shadow Rider is knocked out. As a free action, Calyrex can dismount. Whenever Calyrex dismounts from you, your HP is set to 100."
Grim Neigh,"When you knock out a foe, your Special Attack is +2 for 10 mins"
Rider,"As a free action, Calyrex can mount Glastrier or Spectrier to become Calyrex Ice Rider or Calyrex Shadow Rider respectively. Whenever you mount, you recover to full HP in your new form. You gain all of the moves of Glastrier or Spectrier when you mount them while retaining your moves. As a free action, you may also dismount. When you dismount, your mount is set to their full HP, but you lose HP from your full HP equal to the amount of HP you lost while in your Ice Rider or Shadow Rider form."
Unseen Fist,Your moves cannot be prevented by a Reaction move.
Bad Dreams,Foes who are Asleep lose 20 HP on your turn when within 30 ft of you.
Intrepid Sword,+6 Attack
Relic of Heroes,"If you are in possession of your Hero Relic, you are in your Crowned form."
Dauntless Shield,+6 Defense
Guardian of Sunlight,"While in sunlight, you deal +1d12 damage with your attacks."
Guardian of Moonlight,"While in moonlight, you deal +1d12 damage with your attacks."
Trespasser Hunter,"Your attacks against Ultra Beasts, Solgaleo, or Lunala deal +1d12 damage."
Neuroforce,Your super effective and extremely effective attacks add an additional die to their damage rolls. Super effective attacks made against you are treated as regular attacks. Extremely effective attacks made against you are treated as super effective attacks.
Pillager of Light,"Necrozma can possess Solgaleo to become its Dusk Mane form or Lunala to become its Dawn Wings form. If Necrozma is able to posses both of them, it becomes its Ultra Mantle form. Necrozma only needs to touch Solgaleo or Lunala to possess them. Solgaleo or Lunala can only escape from Necrozma once Necrozma is knocked out. Necrozma also gains the moves of whoever Necrozma is possessing. When separating from Lunala, Solgaleo, or both; if you had more HP than any of their individual max HPs they are set to their max HP, otherwise each Pokémon is set to the HP you were at when you separated."
Primordial Sea,As a free action you may use Rain Dance ignoring its frequency.
Master of the Sea,"If you encounter Groudon, you are compelled to flood the lands and fight them."
Master of the Land,"If you encounter Kyogre, you are compelled to evaporate the seas and fight them."
Desolate Land,As a free action you may use Sunny Day ignoring its frequency.
Air Lock,As a free action you may use Defog ignoring its frequency.
Master of the Skies,You are compelled to quell any fighting between Kyogre and Groudon.
Delta Stream,Your foes do not add dice to their attacks for super effective or extremely effective attacks due to your Flying-type.
Turboblaze,"Your attacks ignore any passives that would redirect, negate or weaken them."
Teravolt,"Your attacks ignore any passives that would redirect, negate or weaken them."
Terafrost,"Your attacks ignore any passives that would redirect, negate or weaken them."
Unity of Energy,"Kyurem can fuse with Reshiram to become its White Fusion form or Zekrom to become its Black Fusion form. Kyurem only needs to touch Reshiram or Zekrom to combine with them. Reshiram or Zekrom can only part from Kyurem’s hold once Kyurem is knocked out. Kyurem also gains the moves of whoever Kyurem is fused with. When separating from Reshiram or Zekrom; if you had more HP than any of their individual max HPs they are set to their max HP, otherwise each Pokémon is set to the HP you were at when you separated."
Fairy Aura,Fairy-type attacks deal +10 damage within 25ft of you
Dark Aura,Dark-type attacks deal +10 damage within 25ft of you.
Aura Break,Dark-type and Fairy-type type attacks deal -10 damage within 50ft of you. The Fairy Aura and Dark Aura Legendary Passives do not work within 50 ft of you
Life of the Land,"Zygarde operates as tens of thousands of individual cells that observe the ecosystem while spread across world. An individual cell cannot battle and has only 6 HP. When a group of ten are together, Zygarde can combine and act as its 10% form. When a group of one-hundred are together, Zygarde can combine and act as its 50% form. When a group at least three-hundred are together, Zygarde can combine and act as its Complete form. Higher forms have access to the moves and abilities of lesser Zygarde forms.."
God of Time,"Dialga can warp time by either speeding it up, slowing it down, or stopping it altogether at-will. It can also travel through time to visit the past, present, and future. Others near Dialga when it freezes time may try and break free of manipulated time with a Concentration or Constitution check of 16 or higher on their turns (Pokémon do not add any modifiers)."
God of Space,"Palkia can warp space by either making space harder to move through, easier to move through, or by halting things within it altogether at-will. It can also travel through space instantaneously to go anywhere it wants and can even move into parallel worlds. Others near Palkia when it manipulates space may try and break free of manipulated space with a Concentration or Constitution check of 16 or higher on their turns (Pokémon do not add any modifiers)."
Master of the Distortion World,"Giratina can freely move between the Distortion World and the real world. When moving to and from the Distortion World, it opens a portal that remains open for five seconds. When in the Distortion World, or while bringing a shard of its power into the real world, Giratina is in its Origin Form. While in the real world, Giratina is in its Altered Form. In the Distortion World, Giratina can warp time and space at-will, travel through space instantaneously to go anywhere it wants, and travel through time to visit the past, present, and future. Others near Giratina when it manipulates time and space may try and break free of manipulated reality with a Concentration or Constitution check of 16 or higher on their turns (Pokémon do not add any modifiers)."
Darkest Day,"Eternatus is a mobile Power Spot. It can Eternamax at-will as a free action and other Pokémon can Dynamax or Gigantamax when near it. Eternatus can remain Eternamaxed indefinitely. While Eternamaxed, it is treated as a Dynamax Pokémon, but may still use its non-Dynamax moves and is not restricted in its movement."
Multitype,"As a free action, or as a free reaction, you can change your type to any type once per round. You can change your type before your attack’s damage or even before taking damage. You cannot have more than one type at a time."
Creator,"Once per round, Arceus can gain any passive or legendary passive until their next turn. Arceus cannot gain the same passive or legendary passive this way more than once per combat."
